date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,UpperBB,LowerBB,volatility,rsi,macd
2016-10-05,610.218018,613.814026,609.617004,612.510986,612.510986,68077504.0,68077504.0,2.29297,0.376,611.98067,"October 05, 16",0.00376,,,4.898866163378373,59.214370940439586,3.284182797737458
2016-10-06,612.469971,613.81897,611.468994,613.020996,613.020996,56812100.0,56812100.0,0.55102,0.09,612.76965,"October 06, 16",0.0009,,,4.14800978559818,59.75878077604194,3.3525862802260917
2016-10-07,612.607971,617.911987,611.820984,617.120972,617.120972,64071400.0,64071400.0,4.513,0.737,615.61798,"October 07, 16",0.00737,,,4.472514293647521,63.92732534188812,3.6950362533414136
2016-10-08,617.341003,619.848999,617.341003,619.107971,619.107971,42345900.0,42345900.0,1.76697,0.286,618.76599,"October 08, 16",0.00286,,,4.76754898079548,65.77755391633104,4.079735881812439
2016-10-09,619.171997,619.197998,616.606995,616.752014,616.752014,39243400.0,39243400.0,-2.41998,-0.391,617.519,"October 09, 16",-0.00391,,,4.243061129977855,61.73432668850446,4.146706418286158
2016-10-10,616.822021,621.317993,616.197021,618.994019,618.994019,67481104.0,67481104.0,2.172,0.352,618.83634,"October 10, 16",0.00352,,,4.54436306727079,64.00201087687927,4.330769699930329
2016-10-11,619.237976,642.080017,618.5,641.072021,641.072021,103590000.0,103590000.0,21.83404,3.526,633.88401,"October 11, 16",0.03526,,,8.443381781662593,77.89452680401956,6.1868334596239265
2016-10-12,640.870972,641.336975,635.965027,636.192017,636.192017,92370200.0,92370200.0,-4.67896,-0.73,637.83134,"October 12, 16",-0.0073,,,9.595991294153245,71.34083598294636,7.181221174943744
2016-10-13,636.030029,638.833008,635.028992,636.786011,636.786011,61620700.0,61620700.0,0.75598,0.119,636.88267,"October 13, 16",0.00119,,,10.30381891311672,71.65346233973561,7.925846727687826
2016-10-14,637.007996,641.284973,637.007996,640.377991,640.377991,58144600.0,58144600.0,3.36999,0.529,639.55699,"October 14, 16",0.00529,,,11.274203460980582,73.53361548086609,8.705459491488
2016-10-15,640.310974,642.10199,637.390015,638.645996,638.645996,39035400.0,39035400.0,-1.66498,-0.26,639.37933,"October 15, 16",-0.0026,,,11.8925787473494,71.0852834670793,9.078894853536667
2016-10-16,639.083008,642.89801,638.901001,641.630981,641.630981,40298100.0,40298100.0,2.54797,0.399,641.14333,"October 16, 16",0.00399,,,12.262424136940638,72.76812104779611,9.506127688719744
2016-10-17,641.817993,642.328003,638.663025,639.192993,639.192993,58063600.0,58063600.0,-2.625,-0.409,640.06134,"October 17, 16",-0.00409,,,12.162976188364542,69.22442306136945,9.53803895629926
2016-10-18,639.411011,640.736023,635.995972,637.960022,637.960022,65546700.0,65546700.0,-1.45099,-0.227,638.23067,"October 18, 16",-0.00227,,,11.46363561680812,67.43582724019848,9.35598840005764
2016-10-19,638.133972,638.874023,628.013,630.52002,630.52002,69381696.0,69381696.0,-7.61395,-1.193,632.46901,"October 19, 16",-0.01193,,,10.482668663870518,57.74096239937502,8.51323081439773
2016-10-20,630.663025,631.916992,628.257996,630.856995,630.856995,56957300.0,56957300.0,0.19397,0.031,630.34399,"October 20, 16",0.00031,,,9.294178602292316,58.03523187157092,7.782814975896031
2016-10-21,630.825012,634.093994,630.69397,632.828003,632.828003,55951000.0,55951000.0,2.00299,0.318,632.53866,"October 21, 16",0.00318,643.3135208306785,586.8439986893216,8.35499345030915,59.798596837452784,7.279090213811742
2016-10-22,633.135986,658.197021,632.849976,657.294006,657.294006,78556496.0,78556496.0,24.15802,3.816,649.447,"October 22, 16",0.03816,645.0711145980373,588.3566856819629,9.547795080566504,74.25818377462183,8.753185409172374
2016-10-23,657.620972,661.129028,653.885986,657.070984,657.070984,54474600.0,54474600.0,-0.54999,-0.084,657.362,"October 23, 16",-0.00084,647.9491161157692,587.8330445242308,9.493744909968052,73.99690891791657,9.790560967826195
2016-10-24,657.161011,657.252014,652.594971,653.760986,653.760986,62218200.0,62218200.0,-3.40003,-0.517,654.53599,"October 24, 16",-0.00517,650.3878912004209,587.199349999579,8.559940480342911,70.05714293656081,10.227700827536978
2016-10-25,654.002014,664.424011,653.697998,657.588013,657.588013,90378800.0,90378800.0,3.586,0.548,658.57001,"October 25, 16",0.00548,653.0498845355434,586.5772761044567,9.565723732030156,71.91876504960703,10.758924229560762
2016-10-26,657.677979,679.728027,657.677979,678.304016,678.304016,88877104.0,88877104.0,20.62604,3.136,671.90334,"October 26, 16",0.03136,658.1740366042835,584.1678457157165,13.153884870365705,79.38890173089814,12.705074721407755
2016-10-27,678.213989,688.593994,678.039978,688.312988,688.312988,96105296.0,96105296.0,10.099,1.489,684.98232,"October 27, 16",0.01489,664.1765970122575,581.1160445877425,16.946364818107632,81.89490354130396,14.883485839277569
2016-10-28,688.0,690.44397,684.161987,689.651001,689.651001,81145504.0,81145504.0,1.651,0.24,688.08565,"October 28, 16",0.0024,669.5596598894573,578.2663825905428,19.706625074348405,82.20636228851751,16.527341902118224
2016-10-29,690.289001,720.401978,690.052002,714.479004,714.479004,134760992.0,134760992.0,24.19,3.504,708.31099,"October 29, 16",0.03504,678.0845454124282,573.4062163075718,24.91499913051705,86.75840345005005,19.60749897810888
2016-10-30,714.117981,714.117981,696.474976,701.864014,701.864014,100665000.0,100665000.0,-12.25397,-1.716,704.15232,"October 30, 16",-0.01716,683.8981648416525,570.7267985583476,26.8720583148225,76.10508483716043,20.79095618604333
2016-10-31,702.640015,709.289001,691.682007,700.971985,700.971985,97064400.0,97064400.0,-1.66803,-0.237,700.64766,"October 31, 16",-0.00237,689.1619646376478,569.2331184023521,27.801194796543996,75.40003203792958,21.41007326706267
2016-11-01,701.336975,736.452026,701.336975,729.79303,729.79303,130527000.0,130527000.0,28.45605,4.057,722.52734,"November 01, 16",0.04057,697.6727997056728,565.5842852943272,30.942027844217534,81.39673536954055,23.950261769091526
2016-11-02,730.065979,740.828979,722.348999,740.828979,740.828979,84865200.0,84865200.0,10.763,1.474,734.66899,"November 02, 16",0.01474,706.8282511807014,561.6923518592988,33.06961644110278,83.09596847674132,26.54786109382519
2016-11-03,742.346008,745.77301,678.156006,688.700012,688.700012,172808000.0,172808000.0,-53.646,-7.227,704.20968,"November 03, 16",-0.07227,709.6632150006087,561.9780276793913,30.023381539611353,56.73468453373798,24.12204141840209
2016-11-04,689.124023,706.929993,685.562988,703.234985,703.234985,99907696.0,99907696.0,14.11096,2.048,698.57599,"November 04, 16",0.02048,713.51539373582,561.96904718418,26.540547904192014,60.49764287146745,23.106060414370745
2016-11-05,703.525024,707.51001,697.739014,703.41803,703.41803,53752300.0,53752300.0,-0.10699,-0.015,702.88902,"November 05, 16",-0.00015,717.1385934517673,562.2036477882327,25.082429508418155,60.54418314148804,22.06134885378367
2016-11-06,703.812012,714.257996,699.559998,711.521973,711.521973,59902200.0,59902200.0,7.70996,1.095,708.44666,"November 06, 16",0.01095,721.2288319158982,562.3349278841018,23.301876716050185,62.6426638393056,21.637899649861765
2016-11-07,710.736023,710.736023,699.903015,703.130981,703.130981,65047100.0,65047100.0,-7.60504,-1.07,704.59001,"November 07, 16",-0.0107,724.4043711261768,562.8896669938233,19.936191171397564,59.135593225674434,20.390184818870353
2016-11-08,703.088989,712.987,702.390015,709.848022,709.848022,79660800.0,79660800.0,6.75903,0.961,708.40835,"November 08, 16",0.00961,727.9167656459215,563.4021137540788,15.98964779454886,61.017067044197816,19.716096016026768
2016-11-09,709.825012,740.046021,708.609985,723.27301,723.27301,132429000.0,132429000.0,13.448,1.895,723.97634,"November 09, 16",0.01895,732.3539851408168,563.5633341791831,14.866821023090514,64.53195011233929,20.034218121878325
2016-11-10,722.843994,723.018005,711.210022,715.533997,715.533997,68807800.0,68807800.0,-7.31,-1.011,716.58734,"November 10, 16",-0.01011,735.5420513659968,565.1106683540032,13.944086405089553,61.11125828523574,19.437791747580945
2016-11-11,715.554993,718.317993,714.409973,716.411011,716.411011,63119700.0,63119700.0,0.85602,0.12,716.37966,"November 11, 16",0.0012,738.4979216445024,566.9593195554978,12.851721754947345,61.361216971448385,18.818954061193267
2016-11-12,716.752014,717.14801,704.034973,705.054016,705.054016,64622500.0,64622500.0,-11.698,-1.632,708.74567,"November 12, 16",-0.01632,740.5613498478608,568.9843727921393,12.932160247479436,56.31346310913929,17.213677593952866
2016-11-13,705.195984,705.257019,687.315002,702.031006,702.031006,80318096.0,80318096.0,-3.16498,-0.449,698.20101,"November 13, 16",-0.00449,742.2235619019948,571.2984009780052,12.923829888047248,55.016119570374535,15.518663295186684
2016-11-14,701.997009,706.283997,699.807983,705.020996,705.020996,62993000.0,62993000.0,3.02399,0.431,703.70433,"November 14, 16",0.00431,743.8204452760367,573.8693178839635,12.740586671686085,56.093541960274834,14.252327496493194
2016-11-15,705.794006,715.718018,705.26001,711.619019,711.619019,72038496.0,72038496.0,5.82501,0.825,710.86568,"November 15, 16",0.00825,745.8870279574246,575.9457747625754,11.668010081741038,58.45807027839629,13.624102394992633
2016-11-16,711.166992,747.61499,709.039001,744.197998,744.197998,141294000.0,141294000.0,33.03101,4.645,733.61733,"November 16, 16",0.04645,750.3395360253071,577.014545974693,12.318513360868533,67.70602920194781,15.575535726922453
2016-11-17,744.875977,755.64502,739.510986,740.97699,740.97699,108579000.0,108579000.0,-3.89899,-0.523,745.37767,"November 17, 16",-0.00523,754.06150700674,578.7425335132599,13.12781081775313,66.13836973957126,16.66999099579141
2016-11-18,740.705017,752.882019,736.890015,751.585022,751.585022,87363104.0,87363104.0,10.88,1.469,747.11902,"November 18, 16",0.01469,758.4316420152046,580.2080796647955,15.918425760719169,68.70808075306418,18.18372356261716
2016-11-19,751.833008,756.237,744.46698,751.616028,751.616028,110608000.0,110608000.0,-0.21698,-0.029,750.77334,"November 19, 16",-0.00029,762.5515572733283,581.7634061266718,17.640669511002,68.71555384798043,19.164947863547695
2016-11-20,751.879028,755.47998,717.94397,731.026001,731.026001,154116000.0,154116000.0,-20.85303,-2.773,734.81665,"November 20, 16",-0.02773,764.8053409040706,584.1913436959292,17.619580776612818,58.6915794012332,18.07280010087436
2016-11-21,731.265015,741.721985,730.51001,739.247986,739.247986,60802400.0,60802400.0,7.98297,1.092,737.15999,"November 21, 16",0.01092,767.2898233681503,586.8410995118497,17.27389205196656,61.12997500625643,17.667055784240006
2016-11-22,739.643005,753.869995,736.526978,751.346985,751.346985,129906000.0,129906000.0,11.70398,1.582,747.24799,"November 22, 16",0.01582,770.4866007198971,589.2128817201028,17.996353906907856,64.45504638360046,18.11299328221321
2016-11-23,751.741028,752.25,738.924011,744.593994,744.593994,76543800.0,76543800.0,-7.14703,-0.951,745.256,"November 23, 16",-0.00951,772.7139293182872,592.3611537217128,18.446890105988757,61.302953787438916,17.717258498206775
2016-11-24,744.619995,746.83197,733.48999,740.289001,740.289001,85919296.0,85919296.0,-4.33099,-0.582,740.20365,"November 24, 16",-0.00582,774.4076271816105,595.7785764583896,18.227326060232866,59.31162564587211,16.861885553492925
2016-11-25,740.442017,741.648987,734.591003,741.648987,741.648987,67807600.0,67807600.0,1.20697,0.163,739.29633,"November 25, 16",0.00163,775.9104792165808,599.420844063419,17.933802916606062,59.75636473891278,16.108052237224342
2016-11-26,741.510986,742.213989,729.625,735.382019,735.382019,54962700.0,54962700.0,-6.12897,-0.827,735.74034,"November 26, 16",-0.00827,776.886683756349,603.175081403651,16.189192669778294,56.68178199265119,14.833945471062634
2016-11-27,735.437012,739.018005,731.085022,732.034973,732.034973,52601800.0,52601800.0,-3.40204,-0.463,734.046,"November 27, 16",-0.00463,777.474636913703,607.1042083262972,13.42784628083999,55.052603144728124,13.399665042063475
2016-11-28,732.484009,738.005981,732.484009,735.812988,735.812988,61888600.0,61888600.0,3.32898,0.454,735.43433,"November 28, 16",0.00454,777.8705583708079,611.4707258291921,10.085176088995095,56.570008768614834,12.424618437667391
2016-11-29,736.328979,737.471008,734.559021,735.604004,735.604004,68511104.0,68511104.0,-0.72497,-0.098,735.87801,"November 29, 16",-0.00098,778.0540477798146,615.9516358201855,6.688192468889301,56.45646981007737,11.502430853736882
2016-11-30,736.283997,747.929016,736.265015,745.690979,745.690979,84070800.0,84070800.0,9.40698,1.278,743.295,"November 30, 16",0.01278,779.6531103230791,618.5373315969209,6.748412715169301,60.57002863557078,11.453496355173343
2016-12-01,746.046021,758.275024,746.046021,756.773987,756.773987,80461904.0,80461904.0,10.72797,1.438,753.69834,"December 01, 16",0.01438,781.5968620809974,621.4168586390026,7.847308210475752,64.53446932567263,12.168747783875006
2016-12-02,757.544983,781.296021,757.544983,777.94397,777.94397,127605000.0,127605000.0,20.39899,2.693,772.26166,"December 02, 16",0.02693,785.0572420695737,623.6027970104265,11.93754769568274,70.61253205154466,14.279228341588578
2016-12-03,778.247986,778.247986,764.856018,771.155029,771.155029,69547296.0,69547296.0,-7.09296,-0.911,771.41968,"December 03, 16",-0.00911,787.689803470792,626.2013171292083,13.7289730114173,66.66674044063184,15.22844455812674
2016-12-04,771.638,773.872009,768.161011,773.872009,773.872009,60557900.0,60557900.0,2.23401,0.29,771.96834,"December 04, 16",0.0029,790.1151062615901,629.1850548584101,14.865203900151252,67.45064614095378,16.015328094637994
2016-12-05,773.393982,773.468018,751.713013,758.700012,758.700012,106363000.0,106363000.0,-14.69397,-1.9,761.29368,"December 05, 16",-0.019,791.1808720022577,632.8020503577422,14.828526033747103,59.09335257004198,15.239019673447388
2016-12-06,758.719971,765.622009,758.719971,764.223999,764.223999,116218000.0,116218000.0,5.50403,0.725,762.85533,"December 06, 16",0.00725,792.1807641212558,636.8033984787442,15.272511654431352,60.988598945214115,14.897796714697506
2016-12-07,764.210999,771.54303,759.75,768.132019,768.132019,96426096.0,96426096.0,3.92102,0.513,766.47502,"December 07, 16",0.00513,793.0205390100032,641.1705034699969,15.764587477135647,62.31870544261585,14.772432211805608
2016-12-08,768.075989,774.697998,765.945984,770.809998,770.809998,80111904.0,80111904.0,2.73401,0.356,770.48466,"December 08, 16",0.00356,793.0869968834489,646.7156447165511,16.011266974753767,63.24353910402876,14.719493308265783
2016-12-09,769.94397,774.528015,769.648987,772.794006,772.794006,68705296.0,68705296.0,2.85004,0.37,772.32367,"December 09, 16",0.0037,792.7712936383772,652.7088284016228,16.18640344547482,63.949483093994886,14.66854189029857
2016-12-10,773.02301,777.09198,772.909973,774.650024,774.650024,53843100.0,53843100.0,1.62701,0.21,774.88399,"December 10, 16",0.0021,792.1465641215646,659.0064387584355,15.57659252870224,64.63378629520773,14.6095182335971
2016-12-11,774.752014,774.797974,765.411987,769.731018,769.731018,57313400.0,57313400.0,-5.021,-0.648,769.98033,"December 11, 16",-0.00648,792.5513855145861,663.0990978454141,13.673953090623405,61.31206732076976,14.004385052607631
2016-12-12,770.039978,781.921997,770.039978,780.086975,780.086975,76571000.0,76571000.0,10.047,1.305,777.34965,"December 12, 16",0.01305,793.3653735176297,667.2057494823705,12.157052677616386,65.34954222122323,14.196799955791448
