,end,start,tweet_count
81,2018-03-26T00:00:00.000Z,2018-03-25T00:00:00.000Z,65128
82,2018-03-27T00:00:00.000Z,2018-03-26T00:00:00.000Z,78831
83,2018-03-28T00:00:00.000Z,2018-03-27T00:00:00.000Z,82047
84,2018-03-29T00:00:00.000Z,2018-03-28T00:00:00.000Z,82327
85,2018-03-30T00:00:00.000Z,2018-03-29T00:00:00.000Z,83746
86,2018-03-31T00:00:00.000Z,2018-03-30T00:00:00.000Z,82457
87,2018-04-02T00:00:00.000Z,2018-04-01T00:00:00.000Z,71188
88,2018-04-03T00:00:00.000Z,2018-04-02T00:00:00.000Z,85082
89,2018-04-04T00:00:00.000Z,2018-04-03T00:00:00.000Z,86095
90,2018-04-05T00:00:00.000Z,2018-04-04T00:00:00.000Z,82392
91,2018-04-06T00:00:00.000Z,2018-04-05T00:00:00.000Z,83391
92,2018-04-07T00:00:00.000Z,2018-04-06T00:00:00.000Z,83784
93,2018-04-08T00:00:00.000Z,2018-04-07T00:00:00.000Z,71378
94,2018-04-09T00:00:00.000Z,2018-04-08T00:00:00.000Z,75784
95,2018-04-10T00:00:00.000Z,2018-04-09T00:00:00.000Z,85672
96,2018-04-11T00:00:00.000Z,2018-04-10T00:00:00.000Z,83553
97,2018-04-12T00:00:00.000Z,2018-04-11T00:00:00.000Z,78779
98,2018-04-13T00:00:00.000Z,2018-04-12T00:00:00.000Z,95689
99,2018-04-14T00:00:00.000Z,2018-04-13T00:00:00.000Z,88189
100,2018-04-15T00:00:00.000Z,2018-04-14T00:00:00.000Z,65495
101,2018-04-16T00:00:00.000Z,2018-04-15T00:00:00.000Z,67551
102,2018-04-17T00:00:00.000Z,2018-04-16T00:00:00.000Z,75443
103,2018-04-18T00:00:00.000Z,2018-04-17T00:00:00.000Z,76808
104,2018-04-19T00:00:00.000Z,2018-04-18T00:00:00.000Z,79810
105,2018-04-20T00:00:00.000Z,2018-04-19T00:00:00.000Z,79067
106,2018-04-21T00:00:00.000Z,2018-04-20T00:00:00.000Z,77569
107,2018-04-22T00:00:00.000Z,2018-04-21T00:00:00.000Z,71121
108,2018-04-23T00:00:00.000Z,2018-04-22T00:00:00.000Z,71994
109,2018-04-24T00:00:00.000Z,2018-04-23T00:00:00.000Z,83664
110,2018-04-25T00:00:00.000Z,2018-04-24T00:00:00.000Z,93279
111,2018-04-26T00:00:00.000Z,2018-04-25T00:00:00.000Z,85401
112,2018-04-27T00:00:00.000Z,2018-04-26T00:00:00.000Z,79577
113,2018-04-28T00:00:00.000Z,2018-04-27T00:00:00.000Z,75708
114,2018-04-29T00:00:00.000Z,2018-04-28T00:00:00.000Z,61942
115,2018-04-30T00:00:00.000Z,2018-04-29T00:00:00.000Z,55901
116,2018-05-02T00:00:00.000Z,2018-05-01T00:00:00.000Z,68713
117,2018-05-03T00:00:00.000Z,2018-05-02T00:00:00.000Z,75644
118,2018-05-04T00:00:00.000Z,2018-05-03T00:00:00.000Z,83667
119,2018-05-05T00:00:00.000Z,2018-05-04T00:00:00.000Z,75143
120,2018-05-06T00:00:00.000Z,2018-05-05T00:00:00.000Z,70282
121,2018-05-07T00:00:00.000Z,2018-05-06T00:00:00.000Z,62817
122,2018-05-08T00:00:00.000Z,2018-05-07T00:00:00.000Z,80405
123,2018-05-09T00:00:00.000Z,2018-05-08T00:00:00.000Z,87660
124,2018-05-10T00:00:00.000Z,2018-05-09T00:00:00.000Z,78035
125,2018-05-11T00:00:00.000Z,2018-05-10T00:00:00.000Z,76534
126,2018-05-12T00:00:00.000Z,2018-05-11T00:00:00.000Z,76563
127,2018-05-13T00:00:00.000Z,2018-05-12T00:00:00.000Z,64315
128,2018-05-14T00:00:00.000Z,2018-05-13T00:00:00.000Z,63252
129,2018-05-15T00:00:00.000Z,2018-05-14T00:00:00.000Z,76218
130,2018-05-16T00:00:00.000Z,2018-05-15T00:00:00.000Z,77291
131,2018-05-17T00:00:00.000Z,2018-05-16T00:00:00.000Z,74393
132,2018-05-18T00:00:00.000Z,2018-05-17T00:00:00.000Z,85759
133,2018-05-19T00:00:00.000Z,2018-05-18T00:00:00.000Z,79345
134,2018-05-20T00:00:00.000Z,2018-05-19T00:00:00.000Z,59634
135,2018-05-21T00:00:00.000Z,2018-05-20T00:00:00.000Z,57592
136,2018-05-22T00:00:00.000Z,2018-05-21T00:00:00.000Z,65747
137,2018-05-23T00:00:00.000Z,2018-05-22T00:00:00.000Z,79927
138,2018-05-24T00:00:00.000Z,2018-05-23T00:00:00.000Z,79708
139,2018-05-25T00:00:00.000Z,2018-05-24T00:00:00.000Z,83268
140,2018-05-26T00:00:00.000Z,2018-05-25T00:00:00.000Z,70419
141,2018-05-27T00:00:00.000Z,2018-05-26T00:00:00.000Z,61967
142,2018-05-28T00:00:00.000Z,2018-05-27T00:00:00.000Z,59816
143,2018-05-29T00:00:00.000Z,2018-05-28T00:00:00.000Z,65260
144,2018-05-30T00:00:00.000Z,2018-05-29T00:00:00.000Z,67213
145,2018-06-01T00:00:00.000Z,2018-05-31T00:00:00.000Z,65665
146,2018-06-02T00:00:00.000Z,2018-06-01T00:00:00.000Z,66965
147,2018-06-03T00:00:00.000Z,2018-06-02T00:00:00.000Z,59375
148,2018-06-04T00:00:00.000Z,2018-06-03T00:00:00.000Z,56690
149,2018-06-05T00:00:00.000Z,2018-06-04T00:00:00.000Z,65722
150,2018-06-06T00:00:00.000Z,2018-06-05T00:00:00.000Z,70349
151,2018-06-07T00:00:00.000Z,2018-06-06T00:00:00.000Z,69289
152,2018-06-08T00:00:00.000Z,2018-06-07T00:00:00.000Z,65494
153,2018-06-09T00:00:00.000Z,2018-06-08T00:00:00.000Z,62947
154,2018-06-10T00:00:00.000Z,2018-06-09T00:00:00.000Z,55818
155,2018-06-11T00:00:00.000Z,2018-06-10T00:00:00.000Z,60307
156,2018-06-12T00:00:00.000Z,2018-06-11T00:00:00.000Z,76289
157,2018-06-13T00:00:00.000Z,2018-06-12T00:00:00.000Z,70352
158,2018-06-14T00:00:00.000Z,2018-06-13T00:00:00.000Z,80111
159,2018-06-15T00:00:00.000Z,2018-06-14T00:00:00.000Z,74593
160,2018-06-16T00:00:00.000Z,2018-06-15T00:00:00.000Z,60777
161,2018-06-17T00:00:00.000Z,2018-06-16T00:00:00.000Z,50204
162,2018-06-18T00:00:00.000Z,2018-06-17T00:00:00.000Z,49088
163,2018-06-19T00:00:00.000Z,2018-06-18T00:00:00.000Z,64632
164,2018-06-20T00:00:00.000Z,2018-06-19T00:00:00.000Z,65139
165,2018-06-21T00:00:00.000Z,2018-06-20T00:00:00.000Z,64845
166,2018-06-22T00:00:00.000Z,2018-06-21T00:00:00.000Z,62114
167,2018-06-23T00:00:00.000Z,2018-06-22T00:00:00.000Z,65367
168,2018-06-24T00:00:00.000Z,2018-06-23T00:00:00.000Z,52375
169,2018-06-25T00:00:00.000Z,2018-06-24T00:00:00.000Z,50750
170,2018-06-26T00:00:00.000Z,2018-06-25T00:00:00.000Z,59014
171,2018-06-27T00:00:00.000Z,2018-06-26T00:00:00.000Z,60680
172,2018-06-28T00:00:00.000Z,2018-06-27T00:00:00.000Z,59739
173,2018-06-29T00:00:00.000Z,2018-06-28T00:00:00.000Z,58887
174,2018-07-01T00:00:00.000Z,2018-06-30T00:00:00.000Z,53275
175,2018-07-02T00:00:00.000Z,2018-07-01T00:00:00.000Z,46326
176,2018-07-03T00:00:00.000Z,2018-07-02T00:00:00.000Z,59834
177,2018-07-04T00:00:00.000Z,2018-07-03T00:00:00.000Z,58743
178,2018-07-05T00:00:00.000Z,2018-07-04T00:00:00.000Z,56040
179,2018-07-06T00:00:00.000Z,2018-07-05T00:00:00.000Z,61025
180,2018-07-07T00:00:00.000Z,2018-07-06T00:00:00.000Z,61976
181,2018-07-08T00:00:00.000Z,2018-07-07T00:00:00.000Z,48108
182,2018-07-09T00:00:00.000Z,2018-07-08T00:00:00.000Z,45961
183,2018-07-10T00:00:00.000Z,2018-07-09T00:00:00.000Z,57468
184,2018-07-11T00:00:00.000Z,2018-07-10T00:00:00.000Z,58372
185,2018-07-12T00:00:00.000Z,2018-07-11T00:00:00.000Z,59757
186,2018-07-13T00:00:00.000Z,2018-07-12T00:00:00.000Z,58286
187,2018-07-14T00:00:00.000Z,2018-07-13T00:00:00.000Z,60631
188,2018-07-15T00:00:00.000Z,2018-07-14T00:00:00.000Z,48121
189,2018-07-16T00:00:00.000Z,2018-07-15T00:00:00.000Z,44490
190,2018-07-17T00:00:00.000Z,2018-07-16T00:00:00.000Z,60415
191,2018-07-18T00:00:00.000Z,2018-07-17T00:00:00.000Z,68604
192,2018-07-19T00:00:00.000Z,2018-07-18T00:00:00.000Z,79546
193,2018-07-20T00:00:00.000Z,2018-07-19T00:00:00.000Z,66330
194,2018-07-21T00:00:00.000Z,2018-07-20T00:00:00.000Z,60988
195,2018-07-22T00:00:00.000Z,2018-07-21T00:00:00.000Z,48597
196,2018-07-23T00:00:00.000Z,2018-07-22T00:00:00.000Z,48430
197,2018-07-24T00:00:00.000Z,2018-07-23T00:00:00.000Z,61384
198,2018-07-25T00:00:00.000Z,2018-07-24T00:00:00.000Z,77949
199,2018-07-26T00:00:00.000Z,2018-07-25T00:00:00.000Z,66292
200,2018-07-27T00:00:00.000Z,2018-07-26T00:00:00.000Z,67263
201,2018-07-28T00:00:00.000Z,2018-07-27T00:00:00.000Z,66140
202,2018-07-29T00:00:00.000Z,2018-07-28T00:00:00.000Z,49370
203,2018-07-31T00:00:00.000Z,2018-07-30T00:00:00.000Z,58802
204,2018-08-01T00:00:00.000Z,2018-07-31T00:00:00.000Z,58265
205,2018-08-02T00:00:00.000Z,2018-08-01T00:00:00.000Z,60899
206,2018-08-03T00:00:00.000Z,2018-08-02T00:00:00.000Z,60010
207,2018-08-04T00:00:00.000Z,2018-08-03T00:00:00.000Z,66299
208,2018-08-05T00:00:00.000Z,2018-08-04T00:00:00.000Z,50186
209,2018-08-06T00:00:00.000Z,2018-08-05T00:00:00.000Z,42820
210,2018-08-07T00:00:00.000Z,2018-08-06T00:00:00.000Z,58555
211,2018-08-08T00:00:00.000Z,2018-08-07T00:00:00.000Z,58186
212,2018-08-09T00:00:00.000Z,2018-08-08T00:00:00.000Z,60446
213,2018-08-10T00:00:00.000Z,2018-08-09T00:00:00.000Z,58260
214,2018-08-11T00:00:00.000Z,2018-08-10T00:00:00.000Z,58702
215,2018-08-12T00:00:00.000Z,2018-08-11T00:00:00.000Z,51124
216,2018-08-13T00:00:00.000Z,2018-08-12T00:00:00.000Z,47529
217,2018-08-14T00:00:00.000Z,2018-08-13T00:00:00.000Z,58453
218,2018-08-15T00:00:00.000Z,2018-08-14T00:00:00.000Z,67314
219,2018-08-16T00:00:00.000Z,2018-08-15T00:00:00.000Z,60177
220,2018-08-17T00:00:00.000Z,2018-08-16T00:00:00.000Z,54228
221,2018-08-18T00:00:00.000Z,2018-08-17T00:00:00.000Z,62182
222,2018-08-19T00:00:00.000Z,2018-08-18T00:00:00.000Z,49413
223,2018-08-20T00:00:00.000Z,2018-08-19T00:00:00.000Z,46523
224,2018-08-21T00:00:00.000Z,2018-08-20T00:00:00.000Z,59205
225,2018-08-22T00:00:00.000Z,2018-08-21T00:00:00.000Z,58970
226,2018-08-23T00:00:00.000Z,2018-08-22T00:00:00.000Z,58057
227,2018-08-24T00:00:00.000Z,2018-08-23T00:00:00.000Z,61214
228,2018-08-25T00:00:00.000Z,2018-08-24T00:00:00.000Z,54357
229,2018-08-26T00:00:00.000Z,2018-08-25T00:00:00.000Z,46691
