,start,tweet_count,sentimentscore
143,2018-05-28,65260,5.070448305471
144,2018-05-29,67213,7.337393167062
145,2018-05-31,65665,2.143690933639
146,2018-06-01,66965,2.7215068565
147,2018-06-02,59375,5.642827392306
148,2018-06-03,56690,5.941788910828
149,2018-06-04,65722,5.341536898076999
150,2018-06-05,70349,6.504252682417
151,2018-06-06,69289,6.373162546390001
152,2018-06-07,65494,4.160657265672
153,2018-06-08,62947,3.812036069
154,2018-06-09,55818,5.374318011052001
155,2018-06-10,60307,5.854664377773
156,2018-06-11,76289,4.6477323693517
157,2018-06-12,70352,2.291497405496
158,2018-06-13,80111,3.4619334465647
159,2018-06-14,74593,6.181639763921001
160,2018-06-15,60777,4.354118221341
161,2018-06-16,50204,4.19491190705
162,2018-06-17,49088,2.132429255997
163,2018-06-18,64632,3.5021807370070004
164,2018-06-19,65139,3.098459870952
165,2018-06-20,64845,6.985628429460999
166,2018-06-21,62114,5.1436934688010005
167,2018-06-22,65367,7.973588989216
168,2018-06-23,52375,6.951637374414
169,2018-06-24,50750,4.931499611016
170,2018-06-25,59014,4.6090251525377
171,2018-06-26,60680,5.208164849276
172,2018-06-27,59739,3.023537555872
173,2018-06-28,58887,5.035720635166999
174,2018-06-30,53275,3.836852617749
175,2018-07-01,46326,4.4212129674980005
176,2018-07-02,59834,4.418481684826
177,2018-07-03,58743,4.8457358579520005
178,2018-07-04,56040,3.748358665731
179,2018-07-05,61025,4.472770048083
180,2018-07-06,61976,8.411680249924
181,2018-07-07,48108,8.3401288630357
182,2018-07-08,45961,6.90497679714
183,2018-07-09,57468,4.617837354957
184,2018-07-10,58372,5.36942426871
185,2018-07-11,59757,3.8849010006717
186,2018-07-12,58286,2.927727441386
187,2018-07-13,60631,4.603274649873
188,2018-07-14,48121,6.496433860260001
189,2018-07-15,44490,5.511964280579701
190,2018-07-16,60415,5.0801276983517
191,2018-07-17,68604,6.39008957209
192,2018-07-18,79546,5.815756145693
193,2018-07-19,66330,5.612499980595
194,2018-07-20,60988,3.63766496212
195,2018-07-21,48597,3.642186716371
196,2018-07-22,48430,2.8663137412317004
197,2018-07-23,61384,4.8268934888597
198,2018-07-24,77949,5.702292117740001
199,2018-07-25,66292,9.710683816421
200,2018-07-26,67263,4.5641495906957
201,2018-07-27,66140,5.254716449919701
202,2018-07-28,49370,8.028355607579
203,2018-07-30,58802,4.151219186217
204,2018-07-31,58265,6.482217268506
205,2018-08-01,60899,7.252269551009
206,2018-08-02,60010,6.115166392522
207,2018-08-03,66299,6.330711809398
208,2018-08-04,50186,3.13409610419
209,2018-08-05,42820,3.681179274006
210,2018-08-06,58555,6.389721977500001
211,2018-08-07,58186,4.328777800658
212,2018-08-08,60446,5.305738923115
213,2018-08-09,58260,2.3640225669957
214,2018-08-10,58702,5.098245329964
215,2018-08-11,51124,4.800234233391
216,2018-08-12,47529,3.2717134347120003
217,2018-08-13,58453,2.1286282818420004
218,2018-08-14,67314,7.284019292189999
219,2018-08-15,60177,4.54579289489
220,2018-08-16,54228,3.032766870122
221,2018-08-17,62182,6.561771437227001
222,2018-08-18,49413,5.110887146103701
223,2018-08-19,46523,3.5422396318
224,2018-08-20,59205,4.0600751749717
225,2018-08-21,58970,6.025366245636
226,2018-08-22,58057,5.127718046793
227,2018-08-23,61214,8.242906839719
228,2018-08-24,54357,4.466208092808
229,2018-08-25,46691,3.666219121391
230,2018-08-26,41912,2.153507592831
231,2018-08-27,53913,1.9017158469147
232,2018-08-29,55084,6.4427782938560005
233,2018-08-30,56652,3.595280430097
234,2018-08-31,54277,6.610662768421
235,2018-09-01,45119,4.309082828698
236,2018-09-02,44201,6.23829454318
237,2018-09-03,51606,4.59850126456
238,2018-09-04,54737,4.065297279207701
239,2018-09-05,58581,6.01467440924
240,2018-09-06,61833,4.149302814274
241,2018-09-07,51327,6.962391274302
242,2018-09-08,41216,6.013829284839001
243,2018-09-09,41758,4.497230517150999
244,2018-09-10,51263,3.991571582837
245,2018-09-11,52981,7.096302835346
246,2018-09-12,51268,4.8499029830997
247,2018-09-13,54597,4.206631785803
248,2018-09-14,49072,4.510238621787
249,2018-09-15,42060,4.4951292830817
250,2018-09-16,42728,7.488801362822
251,2018-09-17,51944,4.9508919174670005
252,2018-09-18,48264,3.03306408801
253,2018-09-19,52279,4.95298547308
254,2018-09-20,53892,6.065639900052699
255,2018-09-21,55872,4.2835734795
256,2018-09-22,41784,5.078237991621
257,2018-09-23,41144,2.808590657451
258,2018-09-24,48062,5.6408191800537
259,2018-09-25,55627,3.671938673102
260,2018-09-26,52355,3.864679202677
261,2018-09-28,48333,2.911929114476
262,2018-09-29,37293,4.4305980868677
263,2018-09-30,36396,6.1779563244137
264,2018-10-01,45665,3.77071671097
265,2018-10-02,44707,2.959892127702
266,2018-10-03,48592,5.8805668260387005
267,2018-10-04,48732,7.431866388431001
268,2018-10-05,49106,7.584563166116001
269,2018-10-06,41406,6.127562942073
270,2018-10-07,36427,4.5296970636717
271,2018-10-08,48443,4.2454316513987
272,2018-10-09,49385,6.036201373761701
273,2018-10-10,50832,5.262305097695999
274,2018-10-11,54741,4.836173887162
275,2018-10-12,46450,4.8167721427987
276,2018-10-13,38672,5.060647962306
277,2018-10-14,39275,7.260143538991
278,2018-10-15,57189,5.207400513646999
279,2018-10-16,52284,7.964691338487
280,2018-10-17,48425,5.592949064234
281,2018-10-18,48637,4.606304448712
282,2018-10-19,42418,3.6194923869177
283,2018-10-20,37143,2.791674141893
284,2018-10-21,36516,4.1439880433
285,2018-10-22,48894,5.0451513578
286,2018-10-23,60163,5.105933837368
287,2018-10-24,48972,5.204952502838
288,2018-10-25,46222,5.007929620731
289,2018-10-26,47190,5.2082793641487
290,2018-10-28,36655,5.428318733029999
291,2018-10-29,48374,4.047359944398
292,2018-10-30,51175,5.8667759164577005
293,2018-10-31,69403,6.221241827768
294,2018-11-01,58399,6.652715676977
295,2018-11-02,47724,3.198402275783
296,2018-11-03,35365,2.351107378728
297,2018-11-04,36339,5.2193103163637
298,2018-11-05,45899,4.295743097622
299,2018-11-06,51342,5.816628030792
300,2018-11-07,48039,6.587031676183
301,2018-11-08,47726,5.919995758421001
302,2018-11-09,46088,8.98501317879
303,2018-11-10,36726,8.484601022848
304,2018-11-11,34759,4.186265311995999
305,2018-11-12,44016,5.147426831576
306,2018-11-13,46794,3.12396041965
307,2018-11-14,57124,4.7135424881997
308,2018-11-15,62027,7.837245146604
309,2018-11-16,53145,5.03787600673
310,2018-11-17,41359,3.829277307141
311,2018-11-18,40730,6.348959493567
312,2018-11-19,67414,5.8394727571827
313,2018-11-20,75565,6.8090510463317
314,2018-11-21,62808,3.911642245762
315,2018-11-22,55118,4.4930810161200005
316,2018-11-23,53663,5.357970019362
317,2018-11-24,47513,4.768713987877
318,2018-11-25,61160,6.8969321803617
319,2018-11-27,63963,3.829672987543
320,2018-11-28,59252,3.093215779173
321,2018-11-29,53065,4.788120580648
322,2018-11-30,50725,5.276888050026
323,2018-12-01,40422,5.5920117160517
324,2018-12-02,37228,6.6832919526427
325,2018-12-03,51529,5.329842379767
326,2018-12-04,50342,6.4380962373687
327,2018-12-05,47264,6.227768123336
328,2018-12-06,49169,5.888001319290001
329,2018-12-07,54848,4.24718915516
330,2018-12-08,42642,5.037403824627
331,2018-12-09,41169,7.262942001667
332,2018-12-10,42607,3.120150124713
333,2018-12-11,45077,7.66396184039
334,2018-12-12,42923,4.3351068050327
335,2018-12-13,47870,7.2427274237317
336,2018-12-14,50457,7.263619432526
337,2018-12-15,37083,5.57124340233
338,2018-12-16,36481,5.519776987809999
339,2018-12-17,52735,7.208233517076001
340,2018-12-18,50639,4.739892892343001
341,2018-12-19,50754,2.80075287631
342,2018-12-20,48116,3.905529125842
343,2018-12-21,44539,8.387619686836
344,2018-12-22,35909,4.6282852257177005
345,2018-12-23,34661,3.325944714121
346,2018-12-24,39365,3.5905590952367006
347,2018-12-25,33082,5.87159493934
348,2018-12-27,43205,8.696419837507
349,2018-12-28,43154,2.7828956590217
350,2018-12-29,40305,4.0486834767260005
351,2018-12-30,35868,5.45825091059
352,2018-12-31,40302,4.463181291811
353,2019-01-01,33042,3.786781093347
354,2019-01-02,44032,5.921913996019999
355,2019-01-03,58620,4.779544734511
356,2019-01-04,45037,5.6307507659897
357,2019-01-05,35480,5.843258208977001
358,2019-01-06,35105,6.844969700268999
359,2019-01-07,45454,5.562585231462
360,2019-01-08,43231,6.74068630786
361,2019-01-09,44395,3.406836147687
362,2019-01-10,45912,5.216706174218
363,2019-01-11,42823,3.83050910481
364,2019-01-12,34827,3.292379289132
365,2019-01-13,33150,8.36846060727
366,2019-01-14,40524,4.93778519488
367,2019-01-15,39726,5.39893263767
368,2019-01-16,48269,5.638540719360001
369,2019-01-17,56775,4.1947518894017
370,2019-01-18,41391,6.396485524186001
371,2019-01-19,34734,4.703685076994001
372,2019-01-20,35971,2.864451800177
373,2019-01-21,42352,7.6781581691847
374,2019-01-22,41283,6.405411926461
375,2019-01-23,44818,7.881480775997001
376,2019-01-24,42958,4.880479670892
377,2019-01-26,33738,6.348183748003001
378,2019-01-27,30970,5.410634197936999
379,2019-01-28,40638,3.80457662901
380,2019-01-29,41362,6.4418161641400005
381,2019-01-30,40926,4.5902626785947005
382,2019-01-31,45114,7.402879532757001
383,2019-02-01,41145,4.606855210051
384,2019-02-02,34053,4.598991603902999
385,2019-02-03,32449,4.566219123301
386,2019-02-04,40927,2.7205812897930004
387,2019-02-05,42687,7.841101631081
388,2019-02-06,49185,9.181996993558
389,2019-02-07,46078,3.670096554113
390,2019-02-08,47190,6.901251402622
391,2019-02-09,37457,3.5040733820279995
392,2019-02-10,34059,3.111569116161
