date,open,adjClose
2021-09-07,52561.757813,52620.878906
2021-09-06,51769.003906,52633.535156
2021-09-05,49937.859375,51753.410156
2021-09-04,50009.324219,49944.625
2021-09-03,49288.25,50025.375
2021-09-02,48807.847656,49327.722656
2021-09-01,47099.773438,48847.027344
2021-08-31,47024.339844,47166.6875
2021-08-30,48834.851563,47054.984375
2021-08-29,48911.25,48829.832031
2021-08-28,49072.585938,48902.402344
2021-08-27,46894.554688,49058.667969
2021-08-26,49002.640625,46942.21875
2021-08-25,47727.257813,48960.789063
2021-08-24,49562.347656,47706.117188
2021-08-23,49291.675781,49546.148438
2021-08-22,48869.105469,49321.652344
2021-08-21,49327.074219,48905.492188
2021-08-20,46723.121094,49339.175781
2021-08-19,44741.882813,46717.578125
2021-08-18,44686.75,44801.1875
2021-08-17,45936.457031,44695.359375
2021-08-16,47019.960938,46004.484375
2021-08-15,47096.667969,47047.003906
2021-08-14,47810.6875,47096.945313
2021-08-13,44439.691406,47793.320313
2021-08-12,45576.878906,44428.289063
2021-08-11,45599.703125,45593.636719
2021-08-10,46280.847656,45585.03125
2021-08-09,43791.925781,46365.402344
2021-08-08,44574.4375,43798.117188
2021-08-07,42832.796875,44555.800781
2021-08-06,40865.867188,42816.5
2021-08-05,39744.515625,40869.554688
2021-08-04,38213.332031,39747.503906
2021-08-03,39178.402344,38152.980469
2021-08-02,39907.261719,39201.945313
2021-08-01,41460.84375,39974.894531
2021-07-31,42196.304688,41626.195313
2021-07-30,40027.484375,42235.546875
2021-07-29,39995.453125,40008.421875
2021-07-28,39503.1875,39995.90625
2021-07-27,37276.035156,39406.941406
2021-07-26,35384.03125,37337.535156
2021-07-25,34290.292969,35350.1875
2021-07-24,33593.730469,34292.445313
2021-07-23,32305.958984,33581.550781
2021-07-22,32138.873047,32313.105469
2021-07-21,29796.285156,32110.693359
2021-07-20,30838.285156,29807.347656
2021-07-19,31800.011719,30817.832031
2021-07-18,31533.884766,31796.810547
2021-07-17,31397.308594,31533.068359
2021-07-16,31841.550781,31421.539063
2021-07-15,32827.875,31780.730469
2021-07-14,32723.845703,32822.347656
2021-07-13,33125.46875,32702.025391
2021-07-12,34254.015625,33155.847656
2021-07-11,33509.078125,34240.1875
2021-07-10,33811.242188,33520.519531
2021-07-09,32861.671875,33798.011719
2021-07-08,33889.605469,32877.371094
2021-07-07,34225.679688,33855.328125
2021-07-06,33723.507813,34235.195313
2021-07-05,35284.34375,33746.003906
2021-07-04,34665.566406,35287.78125
2021-07-03,33854.421875,34668.546875
2021-07-02,33549.601563,33897.046875
2021-07-01,35035.984375,33572.117188
2021-06-30,35908.386719,35040.835938
2021-06-29,34475.558594,35867.777344
2021-06-28,34679.121094,34434.335938
2021-06-27,32287.523438,34649.644531
2021-06-26,31594.664063,32186.277344
2021-06-25,34659.105469,31637.779297
2021-06-24,33682.800781,34662.4375
2021-06-23,32515.714844,33723.027344
2021-06-22,31622.376953,32505.660156
2021-06-21,35641.144531,31676.693359
2021-06-20,35563.140625,35698.296875
2021-06-19,35854.527344,35615.871094
2021-06-18,38099.476563,35787.246094
2021-06-17,38341.421875,38053.503906
2021-06-16,40168.691406,38347.0625
2021-06-15,40427.167969,40406.269531
2021-06-14,39016.96875,40218.476563
2021-06-13,35555.789063,39097.859375
2021-06-12,37340.144531,35552.515625
2021-06-11,36697.03125,37334.398438
2021-06-10,37389.515625,36702.597656
2021-06-09,33416.976563,37345.121094
2021-06-08,33589.519531,33472.632813
2021-06-07,35835.265625,33560.707031
2021-06-06,35538.609375,35862.378906
2021-06-05,36880.15625,35551.957031
2021-06-04,39242.484375,36894.40625
2021-06-03,37599.410156,39208.765625
2021-06-02,36699.921875,37575.179688
2021-06-01,37293.792969,36684.925781
2021-05-31,35658.59375,37332.855469
2021-05-30,34607.40625,35678.128906
2021-05-29,35684.15625,34616.066406
2021-05-28,38507.082031,35697.605469
2021-05-27,39316.890625,38436.96875
2021-05-26,38392.625,39294.199219
2021-05-25,38795.78125,38402.222656
2021-05-24,34700.363281,38705.980469
2021-05-23,37531.449219,34770.582031
2021-05-22,37371.03125,37536.632813
2021-05-21,40596.949219,37304.691406
2021-05-20,36753.667969,40782.738281
2021-05-19,42944.976563,37002.441406
2021-05-18,43488.058594,42909.402344
2021-05-17,46415.898438,43537.511719
2021-05-16,46716.636719,46456.058594
2021-05-15,49855.496094,46760.1875
2021-05-14,49682.980469,49880.535156
2021-05-13,49735.433594,49716.191406
2021-05-12,56714.53125,49150.535156
2021-05-11,55847.242188,56704.574219
2021-05-10,58250.871094,55859.796875
2021-05-09,58877.390625,58232.316406
2021-05-08,57352.765625,58803.777344
2021-05-07,56413.953125,57356.402344
2021-05-06,57441.308594,56396.515625
2021-05-05,53252.164063,57424.007813
2021-05-04,57214.179688,53333.539063
2021-05-03,56620.273438,57200.292969
2021-05-02,57825.863281,56631.078125
